{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0008849853143537742, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0018935941031075, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0006026534831568047, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0012894973904765, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0006379791604331741, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0013650711737505, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 2.46287141851435e-05, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.000052701357707, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 7.508822879816094e-05, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.000160670802351, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 2.1772705425117104e-12, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 0.9999999999950049, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.3185099035136643e-12, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 0.9999999999914462, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.475837709770318e-12, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 0.9999999999912101, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.4740314888692864e-12, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 0.9999999999908896, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.3777415288121943e-12, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 0.9999999999908237, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.440669908591564e-12, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 0.9999999999907166, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0015477796819571735, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.0042181245304087, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0002498432362694355, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.000680900251891, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
