{'sample_size': 160, 'difference': -144, 'noise': 0, 'n': 4, 'shap_error': 1.4455585536910924e-13, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 0.9999999999387711, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 320, 'difference': -304, 'noise': 0, 'n': 4, 'shap_error': 1.4455585536910924e-13, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 0.9999999999387711, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 640, 'difference': -624, 'noise': 0, 'n': 4, 'shap_error': 1.4455585536910924e-13, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 0.9999999999387711, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 20, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 1.2830421807030464e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872123597, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
{'sample_size': 40, 'difference': -24, 'noise': 0, 'n': 4, 'shap_error': 1.2830421807030464e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872123597, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
{'sample_size': 80, 'difference': -64, 'noise': 0, 'n': 4, 'shap_error': 1.2830421807030464e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872123597, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
{'sample_size': 160, 'difference': -144, 'noise': 0, 'n': 4, 'shap_error': 1.2830421807030464e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872123597, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
{'sample_size': 320, 'difference': -304, 'noise': 0, 'n': 4, 'shap_error': 1.2830421807030464e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872123597, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
{'sample_size': 640, 'difference': -624, 'noise': 0, 'n': 4, 'shap_error': 1.2830421807030464e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872123597, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
{'sample_size': 20, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 1.9293625093044368e-13, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 0.9999999999899596, 'gamma': 0.025446501871017397, 'normalized_gamma': 0.031}
{'sample_size': 40, 'difference': -24, 'noise': 0, 'n': 4, 'shap_error': 1.9293625093044368e-13, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 0.9999999999899596, 'gamma': 0.025446501871017397, 'normalized_gamma': 0.031}
{'sample_size': 80, 'difference': -64, 'noise': 0, 'n': 4, 'shap_error': 1.9293625093044368e-13, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 0.9999999999899596, 'gamma': 0.025446501871017397, 'normalized_gamma': 0.031}
