{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0054382382075549174, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.0315584029897102, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0010843883036021627, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.0062927812202467, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0003726129837305925, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.002162293367867, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00010851035406513053, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.0006296695399657, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 1.1181513029674472e-12, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 0.9999999999956456, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.040553685945606266, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.1239104129309045, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00609149566461591, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0186122296882079, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.007850073225016886, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0239856817676858, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0005799096416794754, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0017719249702999, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0002983236991140095, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0009115636393702, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 5.588026311836405e-13, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 0.9999999999983631, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.10116545707649455, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0551019369652148, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.03281478669361239, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0178732563280741, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.004334583530241735, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0023609141240488, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0017838462896840872, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0009716119560315, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0002868568027467616, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0001562421920513, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 2.495746140450731e-13, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 0.9999999999998912, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.034076958122609816, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.1035169688130961, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0037271887549597442, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.011322184217515, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0011361959085384118, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.003451431408738, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0009434520005063691, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0028659407731564, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
