{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.001162048447818291, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0024864568872989, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.0014290920120601873, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0030578893405973, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.0002622367370583131, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0005611214443983, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 0.0002201706067398329, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0004711094237648, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 2.3129000743969235e-12, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 0.9999999999937239, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 1.4883059984275584e-12, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 0.9999999999918605, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 2.2843893977100112e-12, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 0.9999999999923327, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 1.206365146594921e-12, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 0.9999999999910044, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 1.2650539466839668e-12, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 0.9999999999910467, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 1.3483636624555546e-12, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 0.9999999999907985, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.005950943556012607, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.0162179386291617, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.0006297764291041638, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.0017163366179171, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.0012269980806224406, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.0033439441262548, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.0004071798251990935, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.0011097151264128, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 1.0807908658361971e-05, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.0000294559323533, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 0.0001942437835966504, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.000529376748884, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 2.4964990799280114e-13, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 0.9999999999957283, 'gamma': 0.06447481769458502, 'normalized_gamma': 4e-05}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 3.3710620510512296e-13, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 0.9999999999960377, 'gamma': 0.06447481769458502, 'normalized_gamma': 4e-05}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 3.8967592806066145e-13, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 0.9999999999958418, 'gamma': 0.06447481769458502, 'normalized_gamma': 4e-05}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 2.4627048496295184e-13, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 0.9999999999956501, 'gamma': 0.06447481769458502, 'normalized_gamma': 4e-05}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 2.4748973320116774e-13, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 0.9999999999955519, 'gamma': 0.06447481769458502, 'normalized_gamma': 4e-05}
